,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
365,OnePlus Nord 2T 5G,Gray Shadow,128,8,4500,50,32,Oxygen OS,27877.0,32+50,8+128
366,SAMSUNG Galaxy A23 5G,Orange,128,6,5000,50,8,Qualcomm Snapdragon 695 (SM6375),21999.0,8+50,6+128
367,itel A60,SapphireBlack,32,2,5000,8,5,Unisoc,5990.0,5+8,2+32
368,itel A60,DawnBlue,32,2,5000,8,5,Unisoc,5999.0,5+8,2+32
369,REDMI K50i 5G,Phantom Blue,128,6,5080,64,16,Dimensity 8100,21499.0,16+64,6+128
370,POCO M4 Pro 5G,Cool Blue,128,8,5000,50,16,Mediatek Dimensity 810,15999.0,16+50,8+128
371,MOTOROLA G42,Metallic Rose,64,4,5000,50,16,Qualcomm Snapdragon 680,11980.0,16+50,4+64
372,Infinix Smart 6,Starry Purple,64,2,5000,8,5,Mediatek Helio A22,6999.0,5+8,2+64
373,Infinix Smart 6,Heart Of Ocean,64,2,5000,8,5,Mediatek Helio A22,6999.0,5+8,2+64
374,Infinix Smart 6,Light Sea Green,64,2,5000,8,5,Mediatek Helio A22,6999.0,5+8,2+64
375,Infinix Smart 6,Polar Black,64,2,5000,8,5,Mediatek Helio A22,6999.0,5+8,2+64
376,realme 10 Pro+ 5G,Nebula Blue,128,8,5000,108,16,Mediatek Dimensity 1080 5G,23999.0,16+108,8+128
377,realme 9i,Prism Blue,64,4,5000,50,16,Qualcomm Snapdragon 680 (SM6225),11999.0,16+50,4+64
378,realme 9i,Prism Black,128,4,5000,50,16,Qualcomm Snapdragon 680 (SM6225),13499.0,16+50,4+128
379,SAMSUNG Galaxy A14 5G,Light Green,64,4,5000,50,13,SEC S5E8535 (Exynos 1330),16499.0,13+50,4+64
380,SAMSUNG Galaxy A34 5G,Awesome Graphite,256,8,5000,48,13,"Dimensity 1080, Octa Core ",32999.0,13+48,8+256
381,realme Narzo N55,Prime Blue,64,4,5000,64,8,Mediatek Helio G88,11349.0,8+64,4+64
382,SAMSUNG Galaxy A34 5G,Awesome Silver,128,8,5000,48,13,"Dimensity 1080, Octa Core ",30999.0,13+48,8+128
383,OPPO A17k,Navy Blue,64,3,5000,8,5,Mediatek Helio P35,9499.0,5+8,3+64
384,OPPO A17K,Navy Blue,64,3,5000,8,5,Mediatek Helio G35,9790.0,5+8,3+64
385,OPPO A17k,Gold,64,3,5000,8,5,Mediatek Helio P35,9499.0,5+8,3+64
386,OnePlus Nord 2T 5G,Jade Fog,128,8,4500,50,32,Oxygen OS,28298.0,32+50,8+128
387,realme 10 Pro+ 5G,Dark Matter,128,8,5000,108,16,Mediatek Dimensity 1080 5G,23999.0,16+108,8+128
388,realme 10 Pro+ 5G,Hyperspace,128,8,5000,108,16,Mediatek Dimensity 1080 5G,23999.0,16+108,8+128
389,realme 10 Pro+ 5G,Nebula Blue,128,6,5000,108,16,Mediatek Dimensity 1080 5G,22999.0,16+108,6+128
390,realme 10 Pro+ 5G,Hyperspace,128,6,5000,108,16,Mediatek Dimensity 1080 5G,22999.0,16+108,6+128
391,realme 10 Pro+ 5G,Dark Matter,128,6,5000,108,16,Mediatek Dimensity 1080 5G,22999.0,16+108,6+128
392,POCO M4 Pro,Power Black,128,8,5000,64,16,Mediatek Helio G96,13999.0,16+64,8+128
393,Tecno Pop 5 Pro,Ice Blue,32,3,6000,8,5,Helio A22,7049.0,5+8,3+32
394,Tecno Pop 5 Pro,Deepsea Luster,32,3,6000,8,5,Helio A22,6960.0,5+8,3+32
395,SAMSUNG Galaxy M04,Dark Blue,128,4,5000,13,5,MediaTek Helio P35,9104.0,5+13,4+128
396,vivo V27 5G,Magic Blue,256,4,4600,50,50,Mediatek Dimensity 7200 5G,34265.0,50+50,4+256
397,REDMI 9 Activ,Carbon Black,128,6,5000,13,5,Mediatek Helio G35,9499.0,5+13,6+128
398,OPPO A77s,Sunset Orange,128,8,5000,50,8,Qualcomm Snapdragon 680,16499.0,8+50,8+128
399,realme C30s,Stripe Blue,32,2,5000,8,5,Unisoc SC9863A/ Unisoc SC9863A1,6999.0,5+8,2+32
400,MOTOROLA Edge 30 Ultra,Interstellar Black,256,4,4610,200,60,Qualcomm Snapdragon 8+ Gen 1,34265.0,60+200,4+256
401,SAMSUNG Galaxy A23 5G,Silver,128,6,5000,50,8,Qualcomm Snapdragon 695 (SM6375),21999.0,8+50,6+128
402,SAMSUNG Galaxy A14 5G,Dark Red,128,8,5000,50,13,SEC S5E8535 (Exynos 1330),20999.0,13+50,8+128
403,SAMSUNG Galaxy A34 5G,Awesome Graphite,128,8,5000,48,13,"Dimensity 1080, Octa Core ",30999.0,13+48,8+128
404,IQOO Neo 7 5G,Frost Blue,128,8,5000,64,16,Snapdragon 8 Gen 1,30385.0,16+64,8+128
405,vivo Y56 5G,Black Engine,128,8,5000,50,16,Mediatek Dimensity 700,19999.0,16+50,8+128
406,Infinix Note 12 5G,Snowfall,64,6,5000,50,16,Mediatek Dimensity 810 5G,14999.0,16+50,6+64
407,Infinix HOT 12 Play,Racing Black,64,4,6000,13,8,Unisoc T610,8999.0,8+13,4+64
408,POCO F5 5G,Electric Blue,256,4,5000,64,16,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999.0,16+64,4+256
409,vivo Y75,Dancing waves,128,8,4050,50,44,Mediatek G96,19990.0,44+50,8+128
410,realme C30s,Stripe Black,32,2,5000,8,5,Unisoc SC9863A/ Unisoc SC9863A1,6999.0,5+8,2+32
411,POCO X4 Pro 5G,Laser Blue,128,8,5000,64,16,Qualcomm Snapdragon 695 5G,19499.0,16+64,8+128
412,realme Narzo 50A Prime,Flash Blue,128,4,5000,50,8,Unisoc T612,12900.0,8+50,4+128
413,SAMSUNG Galaxy A14 5G,Black,64,4,5000,50,13,SEC S5E8535 (Exynos 1330),16499.0,13+50,4+64
414,Tecno Spark 9,Sky Mirror,64,3,5000,13,8,MediaTek Helio G37,8990.0,8+13,3+64
415,realme NARZO 50A PRIME,FLASH BLUE,64,4,5000,50,8,Unisoc T612,10943.0,8+50,4+64
416,Google Pixel 7,Snow,128,8,4270,50,8,Google Tensor G2,34265.0,8+50,8+128
417,Google Pixel 7,Obsidian,128,8,4270,50,8,Google Tensor G2,34265.0,8+50,8+128
418,POCO F1,Steel Blue,64,6,4000,12,20,Qualcomm Snapdragon 845,13489.0,20+12,6+64
419,MOTOROLA Edge 30 Fusion,Solar Gold,128,8,4400,50,32,Qualcomm Snapdragon 888 +,34265.0,32+50,8+128
420,POCO F5 5G,Carbon Black,256,8,5000,64,16,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999.0,16+64,8+256
421,vivo Y12G,Phantom Black,64,3,5000,13,8,Qualcomm Snapdragon 439,11209.0,8+13,3+64
422,REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50,16,Mediatek Dimensity 1080,26999.0,16+50,8+256
423,realme C30s,Stripe Black,64,4,5000,8,5,Unisoc SC9863A/ Unisoc SC9863A1,8499.0,5+8,4+64
425,SAMSUNG Galaxy A14 5G,Black,128,8,5000,50,13,SEC S5E8535 (Exynos 1330),20999.0,13+50,8+128
426,Google Pixel 7,Lemongrass,128,8,4270,50,8,Google Tensor G2,34265.0,8+50,8+128
427,SAMSUNG Galaxy A23,Black,128,6,5000,50,8,Octa-core(EXYNOS),17499.0,8+50,6+128
428,vivo Y56 5G,Orange Shimmer,128,8,5000,50,16,Mediatek Dimensity 700,19999.0,16+50,8+128
429,vivo Y56 5G,Black Engine,128,4,5000,50,16,Mediatek Dimensity 700,17999.0,16+50,4+128
430,realme Narzo 50A,Oxygen Blue,64,4,6000,50,8,MediaTek Helio G85,11499.0,8+50,4+64
431,vivo Y75,Moonlight Shadow,128,8,4050,50,44,Mediatek G96,16988.0,44+50,8+128
432,vivo Y16,Stellar Black,128,4,5000,13,5,Mediatek Helio P35,12989.0,5+13,4+128
433,MOTOROLA g52,Metallic White,128,6,5000,50,16,Qualcomm Snapdragon 680,13999.0,16+50,6+128
434,vivo Y100 5G,Pacific Blue,128,8,4500,64,16,Mediatek Dimensity 900,23999.0,16+64,8+128
435,Redmi 9A Sport,Coral Green,32,2,5000,13,5,Helio G25,7190.0,5+13,2+32
436,Redmi 9A Sport,Coral Green,32,3,5000,13,5,Helio G25,7990.0,5+13,3+32
438,SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50,13,SEC S5E8535 (Exynos 1330),20999.0,13+50,8+128
439,REDMI Note 11,Horizon Blue,64,4,5000,50,13,Snapdragon 680,12990.0,13+50,4+64
440,vivo V25 5G,Elegant Black,128,8,4500,64,50,Mediatek Dimensity 900,27999.0,50+64,8+128
441,SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48,13,"Dimensity 1080, Octa Core ",32999.0,13+48,8+256
442,Infinix Note 12 5G,Force Black,64,6,5000,50,16,Mediatek Dimensity 810 5G,14999.0,16+50,6+64
443,MOTOROLA g42,Metallic Rose,64,4,5000,50,16,Qualcomm Snapdragon 680,13999.0,16+50,4+64
444,SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48,13,"Dimensity 1080, Octa Core ",30999.0,13+48,8+128
445,SAMSUNG Galaxy S21 FE 5G,Olive Green,128,8,4500,12,32,snapdragon 888,32999.0,32+12,8+128
446,REDMI Note 11T 5G,Stardust White,128,8,5000,50,16,Mediatek Dimensity 810,19397.0,16+50,8+128
447,vivo V25 5G,Surfing Blue,128,8,4500,64,50,Mediatek Dimensity 900,27999.0,50+64,8+128
448,vivo Y16,Steller Black,32,3,5000,13,5,Mediatek Helio P35,10989.0,5+13,3+32
449,vivo Y16,Drizzling Gold,32,3,5000,13,5,Mediatek Helio P35,10989.0,5+13,3+32
450,realme X3 SuperZoom,Glacier Blue,256,3,4200,64,16,Qualcomm Snapdragon 855,17999.0,16+64,3+256
451,OPPO F21 Pro,Sunset Orange,128,8,4500,64,32,Qualcomm Snapdragon 680,20999.0,32+64,8+128
452,REDMI Note 11S,Space Black,128,6,5000,108,16,Mediatek Dimensity 810,16990.0,16+108,6+128
453,Infinix HOT 12 Play,Horizon Blue,64,4,6000,13,8,Unisoc T610,8999.0,8+13,4+64
454,vivo V23 5G,Stardust Black,128,8,4200,64,16,Mediatek Dimensity 920,29990.0,16+64,8+128
455,OnePlus 8,Interstellar Glow,256,8,4300,48,32,Qualcomm Snapdragon 865,34265.0,32+48,8+256
456,vivo Y1s,Aurora Blue,32,3,4030,13,5,MediaTek Helio P35,9387.0,5+13,3+32
457,OnePlus 8,Glacial Green,128,6,4300,48,16,Qualcomm Snapdragon 865,29790.0,16+48,6+128
458,OnePlus Nord,Blue Marble,128,8,4115,48,13,QualcommÂ® Snapdragonâ_x0084_¢ 765G,24999.0,13+48,8+128
459,OPPO A77s,Starry Black,128,8,5000,50,8,Qualcomm Snapdragon 680,16499.0,8+50,8+128
460,Nokia C01 Plus,Grey,16,2,3000,5,2,Unisoc SC9863A,5799.0,2+5,2+16
461,POCO M4 Pro,Power Black,128,6,5000,64,16,Mediatek Helio G96,16499.0,16+64,6+128
462,REDMI 10A SPORT,SLATE GREY,128,6,5000,13,5,Helio G25,10890.0,5+13,6+128
463,REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13,5,Helio G25,10548.0,5+13,6+128
464,realme GT 2,Steel Black,256,2,5000,50,16,Qualcomm Snapdragon 888,32299.0,16+50,2+256
465,SAMSUNG Galaxy A54 5G,Awesome Graphite,256,8,5000,50,32,"Exynos 1380, Octa Core ",34265.0,32+50,8+256
466,Nokia C01 Plus,Blue,32,2,3000,5,2,Unisoc SC9863A,6299.0,2+5,2+32
467,vivo Y33s,Mirror Black,128,8,5000,50,16,MediaTek Helio G80,16990.0,16+50,8+128
468,vivo Y56 5G,Orange Shimmer,128,4,5000,50,16,Mediatek Dimensity 700,17999.0,16+50,4+128
469,realme Narzo N55,Prime Black,64,4,5000,64,8,MediaTek Helio G88,11490.0,8+64,4+64
470,realme Narzo 50A Prime,Flash Black,128,4,5000,50,8,MediaTek Helio G88,12599.0,8+50,4+128
471,REDMI Note 10S,Frost White,128,6,5000,64,13,Mediatek Helio G95,16499.0,13+64,6+128
472,realme X3 SuperZoom,Arctic White,256,6,4200,64,32,Qualcomm Snapdragon 855+,17999.0,32+64,6+256
473,vivo V23 5G,Sunshine Gold,128,8,4200,64,16,Mediatek Dimensity 920,31989.0,16+64,8+128
474,APPLE iPhone 11,Black,64,8,3110,12,12,ios,34265.0,12+12,8+64
475,vivo T1 Pro 5G,Turbo Black,128,8,4700,64,16,Qualcomm Snapdragon 778G 5G Mobile Platform,24999.0,16+64,8+128
476,vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64,16,Qualcomm Snapdragon 778G 5G Mobile Platform,23999.0,16+64,6+128
477,Infinix Smart 5A,Midnight Black,32,2,5000,8,8,MediaTek Helio A20,7199.0,8+8,2+32
478,SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50,8,Qualcomm Snapdragon 750G,15999.0,8+50,4+128
479,POCO C31,Royal Blue,64,4,5000,13,5,MediaTek G35,8999.0,5+13,4+64
481,MOTOROLA e22s,Eco Black,64,4,5000,16,8,Mediatek Helio G37,8940.0,8+16,4+64
482,vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64,16,Qualcomm Snapdragon 778G,24999.0,16+64,8+128
483,Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13,5,MediaTek Helio A22,8288.0,5+13,4+64
484,POCO C31,Royal Blue,32,3,5000,13,5,MediaTek Helio G35,8499.0,5+13,3+32
485,Infinix Hot 12 Pro,Halo White,64,6,5000,50,8,Unisoc T616,9999.0,8+50,6+64
486,SAMSUNG Galaxy A23,Peach,128,6,5000,50,8,Octa-core(EXYNOS),17499.0,8+50,6+128
487,REDMI 9i,Midnight Black,64,4,5000,13,5,MediaTek Helio G25,8999.0,5+13,4+64
488,REDMI Note 9,Scarlet Red,128,6,5020,48,13,MediaTek Helio G85,14999.0,13+48,6+128
489,MOTOROLA Edge 30 Ultra,Starlight White,256,6,4610,200,60,Qualcomm Snapdragon 8+ Gen 1,34265.0,60+200,6+256
490,vivo Y565G,Orange Shimmer,128,8,5000,50,16,MTK Dimensity 700,19979.0,16+50,8+128
491,SAMSUNG M53 5G,Deep Ocean Blue,128,6,5000,108,32,Mediatek Dimensity 900,23390.0,32+108,6+128
492,REDMI Note 10 Lite,Glacier White,128,6,5020,48,16,Qualcomm Snapdragon 720G,14385.0,16+48,6+128
493,APPLE iPhone 14 Plus,Midnight,128,6,4323,12,12,IOS,34265.0,12+12,6+128
494,vivo V25 Pro 5G,Pure Black,256,6,4830,64,32,Mediatek Dimensity 1300,30874.0,32+64,6+256
495,Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108,8,Unisoc T616,12999.0,8+108,8+128
496,vivo V25 Pro 5G,Sailing Blue,128,8,4830,64,32,Mediatek Dimensity 1300,34265.0,32+64,8+128
497,Infinix Hot 11,Emerald Green,64,4,5200,13,8,MediaTek Helio G70,9999.0,8+13,4+64
498,Infinix Hot 11,Silver Wave,64,4,5200,13,8,MediaTek Helio G70,9999.0,8+13,4+64
499,Infinix Note 12 Pro,Tuscany Blue,256,8,5000,108,16,Mediatek Helio G99,16999.0,16+108,8+256
500,Infinix Note 12 Pro,Volcanic Grey,256,8,5000,108,16,Mediatek Helio G99,16999.0,16+108,8+256
501,vivo T1 Pro 5G,Turbo Black,128,6,4700,64,16,Qualcomm Snapdragon 778G 5G Mobile Platform,23999.0,16+64,6+128
502,Tecno Pova 3,Eco Black,128,6,7000,50,8,MediaTek Helio G88,13999.0,8+50,6+128
503,REDMI 12c,Royal Blue,128,6,5000,50,5,MediaTek Helio G85,10799.0,5+50,6+128
504,LAVA Z2,Flame Red,32,3,5000,13,8,MediaTek Helio G35,7999.0,8+13,3+32
505,Infinix Hot 12 Pro,Lightsaber Green,64,6,5000,50,8,Unisoc T616,9999.0,8+50,6+64
506,Infinix Hot 12 Pro,Racing Black,64,6,5000,50,8,Unisoc T616,9999.0,8+50,6+64
507,Infinix Hot 12 Pro,Electric Blue,64,6,5000,50,8,Unisoc T616,9999.0,8+50,6+64
508,realme Narzo 50A,Oxygen Green,128,4,6000,50,8,MediaTek Helio G85,11762.0,8+50,4+128
509,REDMI Note 11T 5G,Aquamarine Blue,128,6,5000,50,16,Mediatek Dimensity 810,18990.0,16+50,6+128
510,REDMI Note 11T 5G,Matte black,128,8,5000,50,16,Mediatek Dimensity 810,18999.0,16+50,8+128
511,Infinix Note 11s Free Fire Edition,Mithril Grey,128,8,5000,50,16,MediaTek Helio G96,15999.0,16+50,8+128
512,vivo V25 5G,Elegant Black,256,8,4500,64,50,Mediatek Dimensity 900,29418.0,50+64,8+256
513,vivo V25 Pro 5G,Sailing Blue,256,8,4830,64,32,Mediatek Dimensity 1300,33367.0,32+64,8+256
514,MOTOROLA g31,Meteorite Grey,64,4,5000,50,13,Mediatek Helio G85,11999.0,13+50,4+64
515,SAMSUNG Galaxy A54 5G,Awesome Violet,256,8,5000,50,32,"Exynos 1380, Octa Core ",34265.0,32+50,8+256
516,realme C11 2021,Cool Grey,32,2,5000,8,5,Octa-core,7499.0,5+8,2+32
517,vivo Y21T,Pearl White,128,4,5000,50,8,Qualcomm Snapdragon 680,15499.0,8+50,4+128
518,REDMI K50i 5G,Phantom Blue,256,8,5080,64,16,Dimensity 8100,29990.0,16+64,8+256
519,Tecno Spark Go 2023,Nebula Purple,32,3,5000,13,5,MediaTek Helio A22,7280.0,5+13,3+32
520,APPLE iPhone 14 Plus,Purple,128,3,4323,12,12,6 Core,34265.0,12+12,3+128
521,Tecno Spark Go 2023,UYUNI BLUE,64,4,5000,13,5,Mediatek Helio A22,8999.0,5+13,4+64
522,IQOO Neo 7 5G,Frost Blue,256,4,5000,64,16,Dimensity 8200,34265.0,16+64,4+256
523,realme 9 5G,Meteor Black,64,4,5000,48,16,Mediatek Dimensity 810,13499.0,16+48,4+64
524,realme 9 5G,Supersonic Black,64,4,5000,48,16,Mediatek Dimensity 810,13499.0,16+48,4+64
525,APPLE iPhone 14 Plus,Starlight,128,4,4323,12,12,ios,34265.0,12+12,4+128
526,vivo Y100 5G,Metal Black,128,8,4500,64,16,Mediatek Dimensity 900,23999.0,16+64,8+128
527,vivo Y100 5G,Twilight Gold,128,8,4500,64,16,Mediatek Dimensity 900,23999.0,16+64,8+128
528,SAMSUNG Galaxy A23,Blue,128,6,5000,50,8,Octa-core(EXYNOS),17499.0,8+50,6+128
529,realme Narzo 50i Prime,Mint Green,64,4,5000,8,5,Unisoc T612 processor,8460.0,5+8,4+64
530,SAMSUNG Galaxy A04,Copper,128,4,5000,50,5,Mediatek Helio P35,12999.0,5+50,4+128
531,OPPO F21s Pro,Starlight Black,128,8,4500,64,16,Qualcomm SM6225 Snapdragon 680 4G (6 nm),20890.0,16+64,8+128
532,APPLE iPhone 12,Blue,64,8,2815,12,12,ios,34265.0,12+12,8+64
533,SAMSUNG Galaxy A13,Peach,128,6,5000,50,8,Exynos Octa Core,16499.0,8+50,6+128
534,Nokia G11 Plus,Grey,64,4,5000,50,8,Octa Core,9790.0,8+50,4+64
535,SAMSUNG Galaxy A04e,Light Blue,64,3,5000,13,5,Mediatek Helio P35,9999.0,5+13,3+64
536,SAMSUNG Galaxy S23 5G,Cream,256,8,3900,50,12,Qualcomm Snapdragon 8 Gen 2,34265.0,12+50,8+256
537,LAVA Z21,Cyan,32,2,3100,5,2,Octa Core,5998.0,2+5,2+32
538,Tecno Spark 8T,Turquoise Cyan,64,4,5000,50,8,MediaTek Helio G35,9990.0,8+50,4+64
539,SAMSUNG Galaxy A54 5G,Awesome Lime,128,8,5000,50,32,"Exynos 1380, Octa Core ",34265.0,32+50,8+128
540,OPPO A77,Sky Blue,128,4,5000,50,8,Mediatek Helio G35,15999.0,8+50,4+128
